lr,lc,rc,ld,rd,lnnz,rnnz,smdm_total_latency,smsm_total_latency
97366,33288,5958,0.00056263,0.13,1823595,25785518,34588,76241
37277,6335,8305,0.00015297,0.2,36129,10524778,5584,4022
122335,65522,2027,0.00041097,0.25,3294205,33216643,33295,50312
85283,55401,5954,1.65E-05,0.13,78006,42884765,31766,5405
88648,49392,11945,0.00296184,0.005,12968430,2949991,345328,53227
39049,43377,14025,0.00031941,0.03,541033,18252082,31694,20547
106348,17623,17965,0.00491597,0.13,9213441,41159621,471616,412629
58019,54547,17077,0.00108175,0.07,3423537,65207439,133459,167477
133764,1840,9040,0.00078778,0.15,193897,2495264,12644,18996
132278,48224,8077,0.00047003,0.15,2998367,58429137,94069,174315
17639,14561,16707,0.00160539,0.13,412379,31628398,30814,36391
15728,31500,45522,0.00860544,0.03,4263462,43019639,263064,116536
87003,95285,15346,0.00182521,0.0005,15131430,731149,527278,7771
74841,20268,16085,0.00047003,0.005,713008,1630128,30156,3420
134987,39791,9266,0.00018467,0.13,991923,47932957,54885,101564
62177,74537,22036,0.00082487,0.001,3822919,1642560,150852,7235
108666,10740,19512,0.00078778,0.17,919427,35627383,60265,188507
32231,80720,577,0.00160539,0.3,4176859,13985604,4159,6960
68306,38201,16043,0.00082282,0.03,2147067,18386741,71816,71795
91522,11923,20111,0.01084252,0.0005,11831944,119900,540971,7852
71595,49258,560,0.00082185,0.13,2898403,3589833,3314,6040
73287,5810,17923,0.00015297,0.3,65139,31243081,24432,27410
80348,24008,14712,2.48E-05,0.13,47897,45919803,39585,7599
105970,16771,5723,0.01084252,0.2,19270355,19197223,290667,206628
53708,99995,1909,0.00018467,0.13,991788,24821230,7002,11047
9330,12165,12704,0.00860544,0.13,976794,20092750,15790,20215
49255,32636,13889,0.00491597,0.03,7902553,13599335,184528,93289
8481,44708,6048,0.00078778,0.23,298728,62197325,8025,8077
35773,24749,7821,0.00047003,0.17,416149,32907979,18659,33173
66341,87385,9302,1.65E-05,0.07,95713,56904020,48015,6221
7297,11850,43501,0.00160539,0.03,138831,15465088,20875,17138
109258,67641,5832,0.00013363,0.13,987586,51286831,54107,59694
17199,84760,1995,0.00296184,0.03,4317875,5074350,15230,5466
9314,7419,13478,0.00163948,0.2,113298,20000240,4151,17268
43659,47194,33980,2.09E-05,0.03,43023,48110586,62041,4012
34130,54768,3405,0.00370564,0.005,6926936,932440,36710,6438
82597,83646,2519,0.00013363,0.03,923240,6321702,12241,5640
69420,40962,10465,0.00952101,0.13,27074371,55732444,480653,367858
33895,53317,26714,0.00370564,0.01,6696942,14243336,290745,92404
98966,87945,14688,0.00370564,0.0005,32252780,645897,1192297,20294
124226,83003,2310,0.00370564,0.23,38209922,44118447,314236,224158
16232,10652,12684,0.00182521,0.05,315616,6756092,10513,13849
116115,98118,11052,0.00031941,0.05,3639059,54223806,146549,150395
66177,6349,17332,0.00952101,0.1,4000474,11004602,118117,158641
110661,20042,1144,0.00031941,0.23,708415,5275053,4102,12804
106078,18553,6299,0.00018467,0.17,363448,19870443,17312,30888
95437,99103,2109,0.00296184,0.25,28013575,52252550,158024,155610
84667,17519,6750,0.00160539,0.2,2381336,23654003,40901,97186
31526,11513,45258,0.00182521,0.07,662517,36475921,69185,123332
78312,23565,7906,0.00015297,0.3,282301,55892512,29947,49600
34422,86478,23247,0.00163948,0.0005,4880418,1005186,189685,3565
76873,97636,16492,0.00370564,0.03,27813025,48309209,779413,275059
32360,2665,45187,0.00031941,0.07,27555,8432644,15662,8023
147394,27458,5779,0.00041097,0.2,1663311,31738071,39619,111812
56692,88821,2138,0.00860544,0.2,43333045,37984798,143528,137663
17525,66539,8771,0.00031941,0.03,372484,17509862,17950,6741
1009,17035,19372,0.00296184,0.17,50953,56103796,18055,3722
6600,8834,39569,0.00015297,0.13,8920,45445522,13786,3418
92509,84398,3068,0.00370564,0.13,28932221,33670638,229007,138693
139925,7761,5943,0.00182521,0.2,1982194,9226373,32621,98226
8213,29864,12338,0.00860544,0.1,2110867,36848979,40350,26626
79098,33153,27005,0.00296184,0.03,7767106,26859588,386313,258493
29129,30290,17065,0.00182521,0.07,1610458,36185243,61678,70980
88999,13706,10833,0.01084252,0.0005,13226192,74244,312921,3125
145855,29838,5432,0.00034241,0.27,1490188,43763326,38719,111561
96800,66343,67,0.00491597,0.25,31570600,1117164,5705,5305
141319,77728,4482,0.00296184,0.05,32534593,17419100,528567,154983
144418,7770,9316,0.00056263,0.3,631369,21718658,29203,115501
33410,61523,6558,0.00491597,0.001,10104867,403493,99187,3650
4614,77191,1977,0.01084252,0.17,3862101,25955135,12018,10112
149498,24663,3553,0.00056263,0.15,2074507,13144557,23722,63658
137841,16598,5004,0.00182521,0.23,4176065,19105917,74157,124723
105169,78939,2704,2.09E-05,0.23,173346,49111665,24734,8876
115721,77929,1260,0.00019487,0.15,1757358,14735341,6314,18148
46787,1840,40047,0.00182521,0.25,157185,18428395,25158,94023
145403,12494,13366,0.00952101,0.05,17296615,8350087,725501,296666
54821,11573,4809,0.00860544,0.15,5459856,8349149,42264,49837
28436,5810,37630,0.00952101,0.13,1573159,28424557,87030,154166
44963,93459,20068,0.01084252,0.005,45563041,9377768,1392085,127754
22290,3628,41455,0.00056263,0.27,45499,40608411,24617,44552
37323,42190,40215,0.00860544,0.03,13550901,50900603,851214,242055
70266,23925,8549,0.00182521,0.23,3068395,47046079,63211,135220
108176,10277,16847,0.02533638,0.01,28169438,1731551,1047098,195786
45554,44248,4608,0.00370564,0.23,7469617,46903538,75681,80066
39684,35674,39856,0.02533638,0.0005,35870059,710931,2062417,44884
145742,7273,5457,0.00041097,0.15,435646,5954690,11656,27591
104935,30190,2283,0.00160539,0.2,5085929,13788125,34680,49699
48661,61929,2487,0.00047003,0.1,1416474,15405282,7830,18750
104636,18989,7540,0.00034241,0.15,680376,21477432,25211,63377
15239,2305,16071,0.00952101,0.23,334514,8522074,9164,27148
38625,18083,33855,0.00182521,0.03,1274885,18366819,79149,89916
99120,5167,1758,0.00182521,0.15,934917,1362866,4799,14781
5977,61918,23382,0.00860544,0.03,3185260,43435153,118842,31954
13856,26984,16641,0.00491597,0.005,1838207,2245358,42862,10679
73949,38630,8852,0.00047003,0.15,1342750,51297811,56936,89912
124497,22197,8624,0.01084252,0.15,29963611,28716034,758857,490478
11974,96365,2108,0.00082185,0.1,948369,20321664,10375,4281
113741,52296,7952,4.64E-06,0.13,27600,54062954,44453,3114
62475,50142,11853,0.00108175,0.05,3388772,29718924,88785,106456
86495,75793,20085,0.00182521,0.0005,11965655,761169,537318,10871
67778,67468,17886,0.01084252,0.03,49582161,36203817,1451966,354393
73727,50453,6133,0.00108175,0.01,4023863,3094590,48957,17650
60740,33953,7347,0.00015297,0.27,315475,67355810,35227,34511
134395,43005,4828,2.09E-05,0.25,120680,51907729,27330,23945
91878,79011,1585,0.00047003,0.3,3412190,37577321,13356,31053
148744,14195,4049,0.00082185,0.25,1735369,14372376,21665,79891
51691,40676,21979,0.00491597,0.0005,10336477,447028,362757,8025
23823,4098,31372,0.00082185,0.13,80255,16717387,15823,25260
134593,43061,8367,0.00108175,0.13,6269567,46841184,200407,205587
1845,30962,44492,0.00952101,0.005,544057,6888066,48744,5525
41847,20929,6892,0.00491597,0.1,4305644,14424885,51376,43913
47220,24989,19836,0.02533638,0.05,29897665,24784903,884735,266948
118043,87390,12550,0.00182521,0.0005,18828527,548385,714053,7686
83322,26300,2170,0.00491597,0.25,10773141,14271019,48648,69791
17336,18634,23391,0.00078778,0.1,254495,43587966,38578,38387
64413,10721,10525,0.00031941,0.03,220582,3385353,11112,4762
75825,41469,9371,0.00034241,0.13,1076679,50521505,49966,89502
109046,21660,1643,0.00163948,0.03,3872500,1067990,17826,13104
117887,43943,2704,0.00015297,0.17,792452,20207540,15616,29899
45114,10492,24379,0.00491597,0.01,2327126,2558055,82823,33352
117867,21275,9275,0.00018467,0.13,463104,25653800,26557,45113
137034,91065,2431,2.09E-05,0.27,260563,59785667,31529,13050
90185,32471,5210,0.00047003,0.01,1376457,1691889,18479,5592
144112,87176,13029,0.00082487,0.05,10363023,56795187,526737,303187
22530,10253,48658,0.00160539,0.03,370866,14967638,41456,38712
26419,12879,25452,0.00056263,0.1,191449,32781952,32324,36210
40505,12378,27829,0.00041097,0.2,206065,68898718,45162,80420
124839,80742,12194,4.64E-06,0.05,46770,49230041,52130,3095
46389,21677,12584,0.00082185,0.17,826472,46376622,36464,74011
88987,57897,16601,2.48E-05,0.03,127927,28835533,46985,5342
74393,61781,3466,0.00182521,0.23,8388939,49256590,73004,93399
70243,18581,15137,0.00056263,0.13,734374,36566022,47181,88137
99551,65462,1370,0.00860544,0.15,56081368,13457341,185991,116223
101995,21211,15495,0.00018467,0.15,399527,49303159,54037,78032
105828,74577,396,0.00056263,0.2,4440503,5911526,4571,7926
53857,9873,23597,0.00160539,0.13,853679,30288539,47075,127934
46060,31593,12477,0.00296184,0.15,4310071,59129895,108173,121873
60528,5350,3159,0.00182521,0.23,591139,3888820,4782,18552
88725,62419,9675,0.00952101,0.05,52729591,30197769,1136666,334234
3325,56230,3560,0.00296184,0.23,553791,46047145,6879,4584
141148,75771,13011,0.00160539,0.05,17169578,49293225,843860,351382
30866,17183,18656,0.00078778,0.05,417827,16028511,25976,29220
81106,27977,18993,0.00013363,0.13,303222,69078256,65232,76537
47902,10258,40635,0.00860544,0.07,4228743,29180178,271273,262452
64348,19672,7712,0.00370564,0.2,4690976,30345813,71110,110950
70750,40157,28409,8.43E-05,0.03,239480,34225737,61996,16552
20235,42466,12237,0.00182521,0.03,1568424,15590396,33279,26522
138381,26832,9184,0.00018467,0.27,685694,66541578,45427,125825
78519,15235,6040,0.00082487,0.17,986777,15644394,16088,56863
19306,38528,22318,0.00041097,0.05,305707,42994698,32986,30542
61507,64168,3007,0.00013363,0.13,527416,25087802,7021,13013
22950,10175,25162,0.00296184,0.27,691700,69132631,49801,92847
39045,50871,3696,0.00082282,0.25,1634351,47005874,11666,32010
